Country,Crime Index,Safety Index
Venezuela,84.49,15.51
Papua New Guinea,81.93,18.07
South Africa,77.49,22.51
Afghanistan,76.23,23.77
Honduras,76.11,23.89
Trinidad And Tobago,73.19,26.81
Brazil,68.88,31.12
Peru,68.15,31.85
El Salvador,67.96,32.04
Guyana,67.66,32.34
Namibia,67.21,32.79
Syria,66.46,33.54
Jamaica,66.04,33.96
Puerto Rico,65.63,34.37
Angola,64.97,35.03
Bangladesh,63.94,36.06
Nigeria,63.77,36.23
Bahamas,62.86,37.14
Libya,62.19,37.81
Kazakhstan,62.02,37.98
Argentina,61.77,38.23
Kenya,61.66,38.34
Dominican Republic,61.16,38.84
Uganda,59,41
Tanzania,58.95,41.05
Fiji,58.92,41.08
Malaysia,58.84,41.16
Somalia,58.5,41.5
Mongolia,57.97,42.03
Guatemala,57.83,42.17
Zimbabwe,57.47,42.53
Costa Rica,56.33,43.67
Colombia,54.79,45.21
Mexico,53.97,46.03
Uruguay,53.81,46.19
Botswana,53.49,46.51
Maldives,53.21,46.79
Bolivia,52.93,47.07
Ecuador,50.9,49.1
Cambodia,50.66,49.34
Algeria,49.81,50.19
Paraguay,49.6,50.4
Iran,49.25,50.75
Ethiopia,49.21,50.79
Ghana,48.97,51.03
Ukraine,48.85,51.15
Morocco,48.69,51.31
Iraq,47.78,52.22
Mauritius,47.33,52.67
United States,47.2,52.8
Panama,47.19,52.81
Sweden,47.07,52.93
Egypt,46.92,53.08
France,46.79,53.21
Myanmar,45.86,54.14
Indonesia,45.84,54.16
Ireland,45.43,54.57
Vietnam,45.35,54.65
Chile,45.23,54.77
Moldova,44.98,55.02
Nicaragua,44.44,55.56
Italy,44.26,55.74
Pakistan,44.08,55.92
Belgium,43.98,56.02
United Kingdom,43.71,56.29
Palestine,43.59,56.41
Lebanon,43.36,56.64
India,43.32,56.68
Bosnia And Herzegovina,43.03,56.97
Philippines,42.16,57.84
Tunisia,41.88,58.12
Australia,41.36,58.64
Montenegro,41.18,58.82
Russia,41.12,58.88
New Zealand,40.93,59.07
Jordan,40.83,59.17
Thailand,40.48,59.52
Greece,40.32,59.68
Sri Lanka,40.22,59.78
Canada,39.67,60.33
Albania,39.52,60.48
Turkey,39.49,60.51
Malta,39.04,60.96
North Macedonia,38.67,61.33
Bulgaria,38.5,61.5
Serbia,37.41,62.59
Latvia,36.95,63.05
Norway,35.43,64.57
Hungary,35.08,64.92
Germany,34.81,65.19
Kuwait,34.75,65.25
Nepal,34.56,65.44
Luxembourg,33.39,66.61
Lithuania,33.06,66.94
Kosovo (Disputed Territory),32.91,67.09
Spain,31.96,68.04
China,31.83,68.17
Azerbaijan,31.61,68.39
Singapore,30.57,69.43
Cyprus,30.01,69.99
Portugal,29.63,70.37
Israel,29.6,70.4
Bahrain,29.29,70.71
Slovakia,29.22,70.78
Poland,28.5,71.5
South Korea,28.02,71.98
Brunei,27.68,72.32
Romania,27.64,72.36
Netherlands,27.62,72.38
Cuba,27.45,72.55
Saudi Arabia,26.18,73.82
Czech Republic,25.52,74.48
Denmark,25.1,74.9
Belarus,24.99,75.01
Croatia,24.71,75.29
Austria,23.73,76.27
Iceland,23.36,76.64
Finland,23.32,76.68
Estonia,23.14,76.86
Armenia,21.6,78.4
Switzerland,21.6,78.4
Slovenia,21.07,78.93
Oman,20.79,79.21
Hong Kong,20.7,79.3
Japan,20.66,79.34
Georgia,20.21,79.79
United Arab Emirates,15.7,84.3
Taiwan,15.65,84.35
Qatar,11.86,88.14
